UUSERID,FOR_RENT_NUM_LISTINGS,FOR_SALE_NUM_LISTINGS,FOR_RENT_NUM_OF_ENQUIRIES,FOR_SALE_NUM_OF_ENQUIRIES,FOR_RENT_NUM_OF_INSPECTION_COMPLETED,FOR_SALE_NUM_OF_INSPECTION_COMPLETED,FOR_RENT_NUM_OF_INSPECTION_INTENTION,FOR_SALE_NUM_OF_INSPECTION_INTENTION,FOR_RENT_NUM_OF_SHORTLISTED,FOR_SALE_NUM_OF_SHORTLISTED,LABEL
999634232133309282,13,0,0,0,0,0,0,0,0,0,0
999628067206409018,0,2,0,0,0,0,0,0,0,0,1
999624192330679393,0,4,0,0,0,0,0,0,0,0,1
999617408809777195,36,0,6,0,0,0,0,0,11,0,0
999609588352555852,0,19,0,0,0,0,0,0,0,6,1
999609507770744774,0,1,0,0,0,0,0,0,0,0,1
99960640053563081,0,24,0,0,0,0,0,0,0,0,1
999605584947449492,0,9,0,0,0,0,0,0,0,0,1
999602684080936028,0,3,0,0,0,0,0,0,0,0,1
999599947418996839,0,1,0,0,0,0,0,0,0,0,1
999599031222856782,0,1,0,0,0,0,0,0,0,0,1
999597626640738301,0,4,0,0,0,0,0,0,0,0,1
999595905382877567,0,6,0,0,0,0,0,0,0,0,1
999595185578615703,0,12,0,0,0,0,0,0,0,0,1
999592941351076128,0,1,0,0,0,0,0,0,0,0,1
999581677151195552,0,39,0,0,0,0,0,0,0,0,1
999579500594347403,5,0,0,0,0,0,0,0,0,0,0
999579452387583903,0,21,0,0,0,0,0,0,0,0,1
999577785610665408,0,1,0,0,0,0,0,0,0,0,1
999576949725950224,0,1,0,0,0,0,0,0,0,0,1
999572395083613598,0,1,0,0,0,0,0,0,0,0,1
999571296394342341,7,1,0,0,0,0,0,0,0,0,0
999568085476555567,252,409,0,3,0,0,0,0,6,8,1
999567784184243674,1,0,0,0,0,0,0,0,0,0,0
999566557139053390,0,30,0,0,0,0,0,0,0,1,1
999565684154238352,54,0,0,0,0,0,0,0,2,0,0
999564222193531815,0,23,0,0,0,0,0,0,0,0,1
999554952586283152,7,0,0,0,0,0,0,0,0,0,0
999551582507018874,0,3,0,0,0,0,0,0,0,0,1
999550856352761412,0,21,0,0,0,0,0,0,0,0,1
999550701357130797,0,2,0,0,0,0,0,0,0,0,1
99954903543643452,0,1,0,0,0,0,0,0,0,0,1
999547420559306688,0,2,0,0,0,0,0,0,0,0,1
999545193393348442,0,1,0,0,0,0,0,0,0,0,1
999544973521281555,0,3,0,0,0,0,0,0,0,0,1
99954310500099002,2,0,0,0,0,0,0,0,0,0,0
999542721301140212,0,1,0,0,0,0,0,0,0,0,1
999541206842572856,0,7,0,0,0,0,0,0,0,0,1
999539828305812062,5,0,0,0,0,0,0,0,0,0,0
99953877830896085,10,0,0,0,0,0,0,0,0,0,0
999538716576977951,1,0,0,0,0,0,0,0,0,0,0
999525636737917385,0,5,0,0,0,0,0,0,0,0,1
999525341342456263,0,1,0,0,0,0,0,0,0,0,1
999523491223279623,0,1,0,0,0,0,0,0,0,0,1
999520501387713157,0,38,0,0,0,0,0,0,0,0,1
999515088145899154,3,0,0,0,0,0,0,0,0,0,0
999513386812860589,0,1,0,0,0,0,0,0,0,0,1
999510693215328990,0,1,0,0,0,0,0,0,0,0,1
999507533722102189,25,0,0,0,0,0,0,0,0,0,0
999501994261944786,0,3,0,0,0,0,0,0,0,0,1
999495830539171959,0,1,0,0,0,0,0,0,0,0,1
999490661418573033,0,7,0,0,0,0,0,0,0,0,1
999490508104160183,0,2,0,0,0,0,0,0,0,0,1
999488121803529766,0,5,0,0,0,0,0,0,0,0,1
999486734138723617,0,1,0,0,0,0,0,0,0,0,1
999479124231449223,0,1,0,0,0,0,0,0,0,0,1
999477729077853362,0,1,0,0,0,0,0,0,0,0,1
999474074664831158,3,0,0,0,0,0,0,0,0,0,0
999471410348607458,0,1,0,0,0,0,0,0,0,0,1
999457456060559023,2,3,0,0,0,0,0,0,0,0,1
999455714314838140,0,1,0,0,0,0,0,0,0,0,1
999446682969203602,0,3,0,0,0,0,0,0,0,0,1
999439159656687910,0,2,0,0,0,0,0,0,0,0,1
999438733490091405,0,1,0,0,0,0,0,0,0,0,1
999435199518706463,0,1,0,0,0,0,0,0,0,0,1
999434995582093319,9,0,0,0,0,0,0,0,0,0,0
999431129816133901,0,1,0,0,0,0,0,0,0,0,1
999431104600575072,0,5,0,0,0,0,0,0,0,0,1
999428176707044435,0,2,0,0,0,0,0,0,0,0,1
999416835141418529,0,99,0,0,0,0,0,0,0,4,1
99941669995767990,0,1,0,0,0,0,0,0,0,0,1
999407241741095440,74,0,0,0,0,0,0,0,0,0,0
999406663950002309,0,1,0,0,0,0,0,0,0,0,1
999402894379354439,0,1,0,0,0,0,0,0,0,0,1
999399840068208575,0,5,0,0,0,0,0,0,0,0,1
999397057385767606,0,43,0,7,0,0,0,1,0,5,1
999396926197627104,0,1,0,0,0,0,0,0,0,0,1
99939686776777406,0,2,0,0,0,0,0,0,0,0,1
999395482015254674,0,2,0,0,0,0,0,0,0,0,1
999394106995051665,0,1,0,0,0,0,0,0,0,0,1
999391771034127736,0,3,0,0,0,0,0,0,0,0,1
999389681988975375,0,1,0,0,0,0,0,0,0,0,1
999381559155487321,10,0,0,0,0,0,0,0,0,0,0
999378193080737264,0,1,0,0,0,0,0,0,0,0,1
999377721710057376,0,2,0,0,0,0,0,0,0,0,1
999375965446493649,0,2,0,0,0,0,0,0,0,0,1
999360047679319496,7,0,0,0,0,0,0,0,0,0,0
999358990947104032,0,1,0,0,0,0,0,0,0,0,1
999352500966406840,5,0,0,0,0,0,0,0,0,0,0
999346048786464794,0,14,0,0,0,0,0,0,0,0,1
999343493973788841,1,0,0,0,0,0,0,0,0,0,0
999341492270412814,0,1,0,0,0,0,0,0,0,0,1
999334651877313847,1,0,0,0,0,0,0,0,0,0,0
999332729736136674,0,10,0,0,0,0,0,0,0,0,1
999329830671857603,0,4,0,0,0,0,0,0,0,0,1
99932573144210504,0,1,0,0,0,0,0,0,0,0,1
999323826875857895,0,3,0,0,0,0,0,0,0,0,1
999321839934049998,0,8,0,0,0,0,0,0,0,0,1
999319994563939836,0,4,0,0,0,0,0,0,0,0,1
999318409501300775,6,0,0,0,0,0,0,0,0,0,0
999317459029743703,0,3,0,0,0,0,0,0,0,0,1
999315259758549548,0,13,0,0,0,0,0,0,0,0,1
999314741307479040,0,1,0,0,0,0,0,0,0,0,1
999313066637728618,0,7,0,0,0,0,0,0,0,0,1
999312888017939842,0,36,0,0,0,0,0,0,0,0,1
999306547011361517,0,1,0,0,0,0,0,0,0,0,1
999305905200325348,0,22,0,0,0,0,0,0,0,0,1
999304926503739802,1,0,0,0,0,0,0,0,0,0,0
999303029574401211,0,2,0,0,0,0,0,0,0,0,1
999302529992450167,9,14,0,0,0,0,0,0,0,0,1
999297377317122438,0,1,0,0,0,0,0,0,0,0,1
999294235410248157,0,2,0,0,0,0,0,0,0,0,1
999290292488759188,0,2,0,0,0,0,0,0,0,0,1
999286039933458637,0,2,0,0,0,0,0,0,0,0,1
999283838664263379,3,12,0,0,0,0,0,0,0,0,1
999275184938839389,0,2,0,0,0,0,0,0,0,0,1
999274658848920305,1,0,0,0,0,0,0,0,0,0,0
999269189845289852,0,1,0,0,0,0,0,0,0,0,1
999264543672145555,0,2,0,0,0,0,0,0,0,0,1
999263576613896949,0,3,0,0,0,0,0,0,0,0,1
999257154167716561,0,2,0,0,0,0,0,0,0,0,1
999256192511200039,0,1,0,0,0,0,0,0,0,0,1
999251118109882839,0,1,0,0,0,0,0,0,0,0,1
999250685586691079,0,1,0,0,0,0,0,0,0,0,1
999247863579036020,0,2,0,0,0,0,0,0,0,0,1
999242848227870096,2,4,0,0,0,0,0,0,0,0,1
999239685108307746,0,1,0,0,0,0,0,0,0,0,1
999239523642653642,3,0,0,0,0,0,0,0,0,0,0
999226898506686284,0,1,0,0,0,0,0,0,0,0,1
99922522408327362,0,1,0,0,0,0,0,0,0,0,1
999220523041920676,0,4,0,0,0,0,0,0,0,0,1
999219667007289157,0,8,0,0,0,0,0,0,0,0,1
99921808291492850,8,0,0,0,0,0,0,0,0,0,0
999216208315055270,1,0,0,0,0,0,0,0,0,0,0
999211913101377760,10,0,0,0,0,0,0,0,0,0,0
999211514563761683,6,0,0,0,0,0,0,0,0,0,0
999210324669900805,3,62,0,0,0,0,0,0,0,2,1
999207734291463990,1,1,0,0,0,0,0,0,0,0,0
99920737463568402,8,3,0,0,0,0,0,0,0,0,0
999203677587731740,0,1,0,0,0,0,0,0,0,0,1
999201457795457531,1,0,0,0,0,0,0,0,0,0,0
999190997063269148,1,0,0,0,0,0,0,0,0,0,0
999184379009976814,0,1,0,0,0,0,0,0,0,0,1
999184336953784745,0,1,0,0,0,0,0,0,0,0,1
999180393740031173,0,3,0,0,0,0,0,0,0,0,1
999176492451996171,0,16,0,0,0,0,0,0,0,0,1
999173514751895247,10,0,0,0,0,0,0,0,0,0,0
999173174784841640,0,1,0,0,0,0,0,0,0,0,1
999165975768649405,15,0,0,0,0,0,0,0,0,0,0
999157839790578665,0,3,0,0,0,0,0,0,0,0,1
999152606860998455,0,2,0,0,0,0,0,0,0,0,1
999147504267202690,7,1,0,0,0,0,0,0,0,0,0
999147211922943763,0,1,0,0,0,0,0,0,0,0,1
999146875894272242,0,1,0,0,0,0,0,0,0,0,1
99914377270030000,1,0,0,0,0,0,0,0,0,0,0
999135111515905221,0,32,0,0,0,0,0,0,0,0,1
999126452776504742,1,0,0,0,0,0,0,0,0,0,0
999119646044037518,0,2,0,0,0,0,0,0,0,0,1
999119049069893362,0,1,0,0,0,0,0,0,0,0,1
999117017585972192,0,2,0,0,0,0,0,0,0,0,1
999106393712948389,0,2,0,0,0,0,0,0,0,0,1
999100411616371052,0,40,0,0,0,0,0,0,0,0,1
999099209303070215,12,45,0,0,0,0,0,0,2,0,1
999098737126668117,2,0,0,0,0,0,0,0,0,0,0
99909598172496469,2,0,0,0,0,0,0,0,0,0,0
999092320273365649,1,0,0,0,0,0,0,0,0,0,0
999091646314974684,21,34,0,0,0,0,0,0,0,1,1
99909086937710458,6,0,0,0,0,0,0,0,0,0,0
999087522696300671,1,0,0,0,0,0,0,0,0,0,0
999084679730221904,0,5,0,0,0,0,0,0,0,0,1
999084160443885847,0,1,0,0,0,0,0,0,0,0,1
999080632456886055,0,1,0,0,0,0,0,0,0,0,1
999076672394336986,0,1,0,0,0,0,0,0,0,0,1
999067425025996201,0,1,0,0,0,0,0,0,0,0,1
999065441596113123,0,9,0,0,0,0,0,0,0,0,1
999063494106374338,0,1,0,0,0,0,0,0,0,0,1
999060639819049574,1,9,0,0,0,0,0,0,0,0,1
99905875725698947,0,7,0,0,0,0,0,0,0,0,1
999057211567976408,0,2,0,0,0,0,0,0,0,0,1
999055646028840023,0,3,0,0,0,0,0,0,0,0,1
999053124025857160,0,1,0,0,0,0,0,0,0,0,1
999051102894632920,0,2,0,0,0,0,0,0,0,0,1
999048255896259341,0,1,0,0,0,0,0,0,0,0,1
999048089933126061,0,9,0,0,0,0,0,0,0,0,1
99904628153353904,0,1,0,0,0,0,0,0,0,0,1
999046216346425468,0,27,0,0,0,0,0,0,0,0,1
999045719000904700,0,1,0,0,0,0,0,0,0,0,1
999045194206500926,1,0,0,0,0,0,0,0,0,0,0
999044265427996735,3,0,0,0,0,0,0,0,0,0,0
999044168749222412,0,5,0,0,0,0,0,0,0,0,1
999043911912914144,0,5,0,0,0,0,0,0,0,0,1
999040737453236922,0,1,0,0,0,0,0,0,0,0,1
999039638340731134,0,2,0,0,0,0,0,0,0,0,1
999035843907869592,0,5,0,0,0,0,0,0,0,0,1
999032615857932344,0,1,0,0,0,0,0,0,0,0,1
999031004171876804,0,1,0,0,0,0,0,0,0,0,1
99902392935007022,0,3,0,0,0,0,0,0,0,0,1
999014528177332720,0,1,0,0,0,0,0,0,0,0,1
999013951119430286,8,0,0,0,0,0,0,0,0,0,0
999003210864952523,0,27,0,0,0,0,0,0,0,0,1
999001366823022438,0,2,0,0,0,0,0,0,0,0,1
998999247584351972,0,6,0,0,0,0,0,0,0,1,1
998995250429619049,9,0,0,0,0,0,0,0,0,0,0
998994890838575340,16,0,0,0,0,0,1,0,4,0,0
998994824019423523,1,21,0,0,0,0,0,0,0,1,1
998990686106552442,0,1,0,0,0,0,0,0,0,0,1
998982183006793756,0,1,0,0,0,0,0,0,0,0,1
998978156304624823,0,11,0,0,0,0,0,0,0,0,1
998975358513739505,0,2,0,0,0,0,0,0,0,0,1
998974711874430711,0,11,0,0,0,0,0,0,0,0,1
998972959892906229,0,1,0,0,0,0,0,0,0,0,1
998965181257261242,0,2,0,0,0,0,0,0,0,0,1
998965054224684770,65,0,0,0,0,0,0,0,3,0,0
998962829612530508,0,52,0,0,0,0,0,0,0,0,1
998955583885047616,0,1,0,0,0,0,0,0,0,0,1
998954573835879730,0,1,0,0,0,0,0,0,0,0,1
998946864450506630,0,3,0,0,0,0,0,0,0,0,1
998946635047080612,0,1,0,0,0,0,0,0,0,0,1
998940793544896378,0,2,0,0,0,0,0,0,0,0,1
998939261276026415,0,2,0,0,0,0,0,0,0,0,1
998938230489268164,12,0,0,0,0,0,0,0,0,0,0
998932874805045498,0,2,0,0,0,0,0,0,0,0,1
998929778885723389,0,2,0,0,0,0,0,0,0,0,1
998922231304868481,0,1,0,0,0,0,0,0,0,0,1
998920213150365087,317,55,0,0,291,0,0,0,0,3,1
998916105081051185,897,0,6,0,5,0,38,0,138,0,0
998915770044036728,0,2,0,0,0,0,0,0,0,0,1
998915353560834327,5,0,0,0,0,0,0,0,0,0,0
998913543123549454,0,1,0,0,0,0,0,0,0,0,1
998913221702552773,2,1,0,0,0,0,0,0,0,0,0
998912457821473657,4,0,0,0,0,0,0,0,0,0,0
998908852325518336,1,0,0,0,0,0,0,0,0,0,0
998904626485174484,7,0,0,0,0,0,0,0,0,0,0
99890339752826576,28,0,0,0,0,0,0,0,0,0,0
998900257534240243,1,3,0,0,0,0,0,0,0,0,1
998894257283480167,0,28,0,0,0,0,0,0,0,0,1
998891806491579372,0,1,0,0,0,0,0,0,0,0,1
998891306155845012,0,4,0,0,0,0,0,0,0,0,1
998890602256520155,0,6,0,0,0,0,0,0,0,1,1
9988899994698676,1,0,0,0,0,0,0,0,0,0,0
99888688336688194,0,1,0,0,0,0,0,0,0,0,1
998885505297606628,4,10,0,0,0,0,0,0,0,0,1
998884456702763620,0,1,0,0,0,0,0,0,0,0,1
99888208177311189,0,1,0,0,0,0,0,0,0,0,1
998881841879918502,0,4,0,0,0,0,0,0,0,0,1
998877956625881786,0,20,0,0,0,0,0,0,0,0,1
99887160613979503,3,0,0,0,0,0,0,0,0,0,0
998870479298876861,0,1,0,0,0,0,0,0,0,0,1
998865502484836474,0,112,0,0,0,0,0,0,0,16,1
998863873023704061,0,3,0,0,0,0,0,0,0,0,1
998863689614114313,2,4,0,0,0,0,0,0,0,0,1
998856976821382,6,0,0,0,0,0,0,0,0,0,0
998856871738513802,0,1,0,0,0,0,0,0,0,0,1
998855097696379678,0,2,0,0,0,0,0,0,0,0,1
998851764383024657,1,0,0,0,0,0,0,0,0,0,0
998849459466170899,0,5,0,0,0,0,0,0,0,0,1
9988407585698288,0,1,0,0,0,0,0,0,0,0,1
998840589941983344,0,5,0,0,0,0,0,0,0,0,1
998833109567495097,0,2,0,0,0,0,0,0,0,0,1
998832345168262062,0,1,0,0,0,0,0,0,0,0,1
998827019282937713,1,0,0,0,0,0,0,0,0,0,0
998823421534861486,2,0,0,0,0,0,0,0,0,0,0
998821584987832890,0,43,0,0,0,0,0,0,0,0,1
998814268009948549,2,0,0,0,0,0,0,0,0,0,0
99880992014744705,0,1,0,0,0,0,0,0,0,0,1
998804151492147038,0,3,0,0,0,0,0,0,0,0,1
998799084308427211,0,1,0,0,0,0,0,0,0,0,1
99879549683512991,0,1,0,0,0,0,0,0,0,0,1
998791692101045307,0,1,0,0,0,0,0,0,0,0,1
998786067262040790,0,1,0,0,0,0,0,0,0,0,1
998780829408741857,0,64,0,0,0,0,0,0,0,0,1
998779903118994003,1,0,0,0,0,0,0,0,0,0,0
998774349656756030,0,1,0,0,0,0,0,0,0,0,1
998771673578782004,9,214,0,0,0,0,0,0,0,0,1
998768114875525434,0,1,0,0,0,0,0,0,0,0,1
998762271406651814,0,12,0,0,0,0,0,0,0,0,1
998758256708631743,54,0,0,0,0,0,0,0,3,0,0
998756862508985552,0,1,0,0,0,0,0,0,0,0,1
998755042773823717,0,4,0,0,0,0,0,0,0,0,1
998754573491805569,0,1,0,0,0,0,0,0,0,0,1
998750017723877786,0,1,0,0,0,0,0,0,0,0,1
998745806896282180,0,17,0,0,0,0,0,0,0,0,1
998745098708578275,0,4,0,0,0,0,0,0,0,0,1
998743068389086518,38,0,0,0,0,0,0,0,0,0,0
998743014198426944,0,1,0,0,0,0,0,0,0,0,1
998742145993090431,0,11,0,0,0,0,0,0,0,0,1
998741082309550108,0,3,0,0,0,0,0,0,0,0,1
998732259514821170,56,0,9,0,0,0,0,0,7,0,0
998726401444946111,220,13,17,0,16,0,0,0,3,0,0
998723332627322370,0,6,0,0,0,0,0,0,0,0,1
998721525777305426,3,0,0,0,0,0,0,0,0,0,0
998716520035854664,5,0,0,0,0,0,0,0,0,0,0
998713221462913490,0,3,0,0,0,0,0,0,0,0,1
998711640780963194,0,21,0,0,0,0,0,0,0,0,1
998710978868778434,0,1,0,0,0,0,0,0,0,0,1
998698823794377601,0,2,0,0,0,0,0,0,0,0,1
998695841181349849,0,134,0,0,0,0,0,0,0,0,1
99868292040373306,0,1,0,0,0,0,0,0,0,0,1
998678762184104475,0,1,0,0,0,0,0,0,0,0,1
998677144395901775,0,6,0,0,0,0,0,0,0,0,1
998675099415342898,0,4,0,0,0,0,0,0,0,0,1
99867346409811598,0,8,0,0,0,0,0,0,0,0,1
998669165157360427,0,7,0,0,0,0,0,0,0,0,1
998663295527621321,0,55,0,0,0,0,0,0,0,0,1
998662471390945705,0,5,0,0,0,0,0,0,0,0,1
998659869736326813,0,6,0,0,0,0,0,0,0,0,1
99865888632430223,74,0,0,0,0,0,0,0,0,0,0
998657643497902735,1,29,0,0,0,0,0,0,0,0,1
998646867329230766,1,0,0,0,0,0,0,0,0,0,0
998641846812077027,0,7,0,0,0,0,0,0,0,0,1
998640823856740301,1,0,0,0,0,0,0,0,0,0,0
998639314832202982,0,1,0,0,0,0,0,0,0,0,1
998635390242518173,10,0,0,0,0,0,0,0,0,0,0
998634927241916673,0,1,0,0,0,0,0,0,0,0,1
998632212998594125,0,1,0,0,0,0,0,0,0,0,1
998630996063835763,0,12,0,0,0,0,0,0,0,0,1
998626415924841623,1,0,0,0,0,0,0,0,0,0,0
998620792654224664,0,10,0,0,0,0,0,0,0,0,1
99861408983747809,0,1,0,0,0,0,0,0,0,0,1
998613121858685724,0,2,0,0,0,0,0,0,0,0,1
998612949859525512,0,11,0,0,0,0,0,0,0,0,1
998611566081594933,0,2,0,0,0,0,0,0,0,0,1
998607621177842253,0,1,0,0,0,0,0,0,0,0,1
998599752425431080,0,3,0,0,0,0,0,0,0,0,1
998595576099001467,6,2,0,0,0,0,0,0,0,0,0
998593834463336433,0,71,0,0,0,0,0,0,0,0,1
998585458747463818,0,2,0,0,0,0,0,0,0,0,1
998584785189992803,0,5,0,0,0,0,0,0,0,0,1
99858397488623278,0,1,0,0,0,0,0,0,0,0,1
998576905660226154,21,0,0,0,0,0,0,0,0,0,0
998574478324884719,0,4,0,0,0,0,0,0,0,0,1
998570559757385700,0,1,0,0,0,0,0,0,0,0,1
998567306047543600,0,4,0,0,0,0,0,0,0,0,1
998564026225015026,0,2,0,0,0,0,0,0,0,0,1
998561108161800261,1,1,0,0,0,0,0,0,0,0,0
998559443058691187,6,2,0,0,0,0,0,0,0,0,0
998558860935407499,0,7,0,0,0,0,0,0,0,0,1
998558314070890099,1,0,0,0,0,0,0,0,0,0,0
998558094093806917,9,0,0,0,0,0,0,0,0,0,0
998557271772429345,0,1,0,0,0,0,0,0,0,0,1
998556557352568125,18,0,0,0,0,0,0,0,0,0,0
998553242531952075,0,1,0,0,0,0,0,0,0,0,1
99855307845014197,0,1,0,0,0,0,0,0,0,0,1
998550124256200286,0,2,0,0,0,0,0,0,0,0,1
998544207490561403,3,0,0,0,0,0,0,0,0,0,0
998540012353537254,0,1,0,0,0,0,0,0,0,0,1
998539312131540098,1,0,0,0,0,0,0,0,0,0,0
998539296246533123,2,0,0,0,0,0,0,0,0,0,0
998534692858725433,0,10,0,0,0,0,0,0,0,0,1
998530798628305189,0,4,0,0,0,0,0,0,0,0,1
998524103762000336,0,5,0,0,0,0,0,0,0,0,1
998516149872648393,0,2,0,0,0,0,0,0,0,0,1
998513704093285068,0,2,0,0,0,0,0,0,0,0,1
998511951278013250,49,0,3,0,0,0,0,0,20,0,0
998507982851042380,0,14,0,0,0,0,0,0,0,0,1
99850758788100369,14,0,0,0,0,0,0,0,0,0,0
998507424732036490,0,2,0,0,0,0,0,0,0,0,1
99849356843029061,0,2,0,0,0,0,0,0,0,0,1
998490136870842593,0,1,0,0,0,0,0,0,0,0,1
998485197650850839,0,1,0,0,0,0,0,0,0,0,1
998483060575184681,0,1,0,0,0,0,0,0,0,0,1
998479600925832938,0,1,0,0,0,0,0,0,0,0,1
998478536310727932,0,3,0,0,0,0,0,0,0,0,1
